year,n,mean,ci95_low,ci95_high
2015,4,0.45128772407770157,0.39120524376630783,0.5181333869695663
2016,9,0.3372245712412728,0.26584906544950276,0.3980787695282035
2017,10,0.3196424633264542,0.22223177708685402,0.4264234324544668
2018,28,0.38371662369796206,0.35222884033407487,0.41155516875109505
2019,51,0.36620400743741616,0.33264333040398714,0.4031768417679796
2020,50,0.3525262528657913,0.3315580215454102,0.3737493339627981
2021,28,0.3530006685427257,0.32197750687066995,0.38296274888728343
2022,56,0.3444004702115698,0.3103619448923772,0.3778844720018761
2023,42,0.3719426175313337,0.33839510993677235,0.40369865863717025
2024,9,0.3022777868641747,0.24527892313069768,0.35131292566657063
